Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,6.063200,6.106600,6.059700,6.046940,6.046940,0
2019-01-02,6.055960,6.160980,6.047230,6.057070,6.057070,0
2019-01-03,6.233590,6.338500,6.135400,6.214040,6.214040,0
2019-01-04,6.221250,6.234520,6.086170,6.226480,6.226480,0
2019-01-07,6.070670,6.202030,6.067170,6.070020,6.070020,0
2019-01-08,6.176280,6.304790,6.154800,6.176160,6.176160,0
2019-01-09,6.266840,6.350400,6.260590,6.273490,6.273490,0
2019-01-10,6.325220,6.357030,6.215990,6.321310,6.321310,0
2019-01-11,6.246210,6.325510,6.238340,6.241830,6.241830,0
2019-01-14,6.277810,6.357900,6.274590,6.276000,6.276000,0
2019-01-15,6.255680,6.273600,6.195190,6.264700,6.264700,0
2019-01-16,6.208250,6.219100,6.089070,6.211480,6.211480,0
2019-01-17,6.082050,6.132380,6.078450,6.081210,6.081210,0
2019-01-18,6.091790,6.122090,6.050340,6.097530,6.097530,0
2019-01-21,6.051740,6.089310,6.047780,6.051740,6.051740,0
2019-01-22,6.047390,6.093250,6.043950,6.057380,6.057380,0
2019-01-23,6.064320,6.082170,6.008460,6.068300,6.068300,0
2019-01-24,6.018970,6.032350,5.947580,6.016060,6.016060,0
2019-01-25,5.951840,6.014880,5.948970,5.951530,5.951530,0
2019-01-28,6.009880,6.107070,5.993190,6.010150,6.010150,0
2019-01-29,6.080540,6.129940,6.054140,6.080670,6.080670,0
2019-01-30,6.066410,6.090000,6.006730,6.066480,6.066480,0
2019-01-31,6.004230,6.023900,5.928130,6.006700,6.006700,0
2019-02-01,5.930700,5.998050,5.925360,5.925860,5.925860,0
2019-02-04,5.970920,5.993050,5.956840,5.969960,5.969960,0
2019-02-05,5.962040,5.969420,5.921000,5.962310,5.962310,0
2019-02-06,5.928680,5.956820,5.921300,5.928760,5.928760,0
2019-02-07,5.939270,5.983060,5.926760,5.941210,5.941210,0
2019-02-08,5.977160,5.980860,5.941230,5.975770,5.975770,0
2019-02-11,5.941910,5.968250,5.934080,5.944080,5.944080,0
2019-02-12,5.952720,5.958060,5.930430,5.947600,5.947600,0
2019-02-13,5.950480,5.970730,5.931450,5.951480,5.951480,0
2019-02-14,5.948610,6.006530,5.938810,5.954500,5.954500,0
2019-02-15,5.957600,5.982270,5.926610,5.955940,5.955940,0
2019-02-18,5.962930,6.012400,5.955250,5.965550,5.965550,0
2019-02-19,5.989170,6.016590,5.980000,5.989850,5.989850,0
2019-02-20,5.994280,6.053470,5.987430,5.994100,5.994100,0
2019-02-21,6.039900,6.056500,6.019780,6.039270,6.039270,0
2019-02-22,6.031500,6.053370,6.022510,6.031310,6.031310,0
2019-02-25,6.030690,6.038830,6.006420,6.031810,6.031810,0
2019-02-26,6.024250,6.042450,6.013380,6.026370,6.026370,0
2019-02-27,6.039520,6.055120,6.020800,6.038770,6.038770,0
2019-02-28,6.040420,6.081390,6.040000,6.041800,6.041800,0
2019-03-01,6.073520,6.148810,6.067550,6.074240,6.074240,0
2019-03-04,6.108960,6.126700,6.076630,6.108870,6.108870,0
2019-03-05,6.110250,6.118250,6.077990,6.107030,6.107030,0
2019-03-06,6.092550,6.156950,6.061900,6.087130,6.087130,0
2019-03-07,6.147000,6.168680,6.106480,6.144970,6.144970,0
2019-03-08,6.111350,6.148460,6.100790,6.111460,6.111460,0
2019-03-11,6.100560,6.134980,6.097640,6.101320,6.101320,0
2019-03-12,6.114720,6.164530,6.098400,6.116950,6.116950,0
2019-03-13,6.155770,6.184800,6.150390,6.155640,6.155640,0
2019-03-14,6.185230,6.201830,6.175300,6.196510,6.196510,0
2019-03-15,6.180540,6.203880,6.173300,6.181990,6.181990,0
2019-03-18,6.166010,6.205550,6.165700,6.165780,6.165780,0
2019-03-19,6.195720,6.222140,6.194490,6.196120,6.196120,0
2019-03-20,6.212980,6.223960,6.205470,6.214040,6.214040,0
2019-03-21,6.200760,6.224980,6.195490,6.200290,6.200290,0
2019-03-22,6.214720,6.470650,6.210280,6.215130,6.215130,0
2019-03-25,6.424330,6.472420,6.290350,6.412130,6.412130,0
2019-03-26,6.289120,6.323700,6.165690,6.290660,6.290660,0
2019-03-27,6.046790,6.149150,5.970570,6.046870,6.046870,0
2019-03-28,6.030290,6.296900,6.017320,6.030910,6.030910,0
2019-03-29,6.221450,6.354250,6.213310,6.253700,6.253700,0
2019-04-01,6.272410,6.401220,6.100310,6.276380,6.276380,0
2019-04-02,6.158540,6.350320,6.152830,6.158410,6.158410,0
2019-04-03,6.283990,6.340910,6.256630,6.292200,6.292200,0
2019-04-04,6.319410,6.360720,6.230100,6.319240,6.319240,0
2019-04-05,6.288470,6.331030,6.258510,6.287190,6.287190,0
2019-04-08,6.316140,6.442110,6.314860,6.315530,6.315530,0
2019-04-09,6.406880,6.428020,6.359160,6.402740,6.402740,0
2019-04-10,6.398890,6.441360,6.379280,6.399740,6.399740,0
2019-04-11,6.403540,6.487990,6.398580,6.403940,6.403940,0
2019-04-12,6.458500,6.586730,6.454040,6.454330,6.454330,0
2019-04-15,6.536010,6.578010,6.534150,6.534670,6.534670,0
2019-04-16,6.556170,6.583560,6.528080,6.556330,6.556330,0
2019-04-17,6.529630,6.560050,6.449940,6.529560,6.529560,0
2019-04-18,6.518500,6.584400,6.498390,6.500400,6.500400,0
2019-04-19,6.546850,6.564280,6.515800,6.548710,6.548710,0
2019-04-22,6.547340,6.576340,6.532690,6.547100,6.547100,0
2019-04-23,6.555310,6.573920,6.530680,6.559630,6.559630,0
2019-04-24,6.546780,6.593340,6.542830,6.547940,6.547940,0
2019-04-25,6.562940,6.657200,6.546830,6.563690,6.563690,0
2019-04-26,6.637150,6.650850,6.594300,6.636710,6.636710,0
2019-04-29,6.629110,6.655280,6.613500,6.629960,6.629960,0
2019-04-30,6.655850,6.699070,6.654390,6.655600,6.655600,0
2019-05-01,6.689000,6.707730,6.673900,6.689600,6.689600,0
2019-05-02,6.681730,6.702120,6.672750,6.675600,6.675600,0
2019-05-03,6.665030,6.686070,6.658300,6.665800,6.665800,0
2019-05-06,6.692700,6.759670,6.687140,6.690510,6.690510,0
2019-05-07,6.816300,6.945520,6.809080,6.816360,6.816360,0
2019-05-08,6.886450,6.936820,6.886450,6.886350,6.886350,0
2019-05-09,6.893710,7.029400,6.886940,6.896010,6.896010,0
2019-05-10,6.907700,6.917280,6.798240,6.907890,6.907890,0
2019-05-13,6.729480,6.887090,6.692590,6.729420,6.729420,0
2019-05-14,6.843400,6.864150,6.713340,6.842200,6.842200,0
